CHR	FROM_BP	TO_BP	NAME	LENGTH
1	1431813	120028459	chr1.from1431813.to120028459	142.03767122384969
1	125111268	248414390	chr1.from125111268.to248414390	125.48320588266068
2	522921	88812955	chr2.from522921.to88812955	106.40850409008857
2	94746010	241537572	chr2.from94746010.to241537572	144.99270030729713
3	524278	90178974	chr3.from524278.to90178974	107.27555930491651
3	94002939	197605279	chr3.from94002939.to197605279	111.00617968459652
4	596033	49059831	chr4.from596033.to49059831	65.10339568843008
4	51846816	189440493	chr4.from51846816.to189440493	137.77449994253374
5	529067	45568567	chr5.from529067.to45568567	62.05844455725216
5	50268964	180749497	chr5.from50268964.to180749497	134.99849550270727
6	682543	58327420	chr6.from682543.to58327420	77.5094256910153
6	60392279	170108868	chr6.from60392279.to170108868	108.49238094131354
7	578048	57760692	chr7.from578048.to57760692	74.45051025942999
7	62899980	158760600	chr7.from62899980.to158760600	103.93242602981023
8	727305	43559012	chr8.from727305.to43559012	62.34183816502676
8	46003765	144559625	chr8.from46003765.to144559625	99.14967352945482
9	689340	39105243	chr9.from689340.to39105243	60.581430403784466
9	62040045	137658312	chr9.from62040045.to137658312	95.73120697678985
10	589917	38378388	chr10.from589917.to38378388	60.9718147409441
10	42199060	133118280	chr10.from42199060.to133118280	108.29355432375797
11	699852	49824008	chr11.from699852.to49824008	63.50860051045856
11	55167087	134562156	chr11.from55167087.to134562156	90.97792362912634
12	586698	34702178	chr12.from586698.to34702178	52.95900455479691
12	37525858	132699698	chr12.from37525858.to132699698	112.52835294696354
13	19140577	113823135	chr13.from19140577.to113823135	127.22724246252564
14	20430758	105464069	chr14.from20430758.to105464069	116.00254040497416
15	23938862	101354830	chr15.from23938862.to101354830	117.3175211929026
16	548838	35867952	chr16.from548838.to35867952	56.26847244164378
16	46407644	89582172	chr16.from46407644.to89582172	70.28938053556993
17	666376	22533151	chr17.from666376.to22533151	48.76637098095363
17	27060491	82575203	chr17.from27060491.to82575203	80.752068003892
18	636775	15367803	chr18.from636775.to15367803	40.6953996995561
18	20797702	79748181	chr18.from20797702.to79748181	75.81749795758898
19	763093	24171510	chr19.from763093.to24171510	47.55406880534553
19	27636293	58082142	chr19.from27636293.to58082142	58.77295758942363
20	584249	26385179	chr20.from584249.to26385179	50.20107584595653
20	30273100	63774607	chr20.from30273100.to63774607	57.50957419268868
21	14143522	46162188	chr21.from14143522.to46162188	62.879593873586366
22	17076254	50237533	chr22.from17076254.to50237533	70.83739667957597
